Chemin_Fichier,Date_Prise,Classe_Predite,Score_Confiance,Statut
../data/raw/p01/food-images/IMG_8916.jpeg,2020-02-01,macarons,12.93%,OK
../data/raw/p01/food-images/IMG_8917.jpeg,2020-02-01,pancakes,22.30%,OK
../data/raw/p01/food-images/IMG_8918.jpeg,2020-02-01,macarons,9.48%,OK
../data/raw/p01/food-images/IMG_8920.jpeg,2020-02-01,pizza,21.25%,OK
../data/raw/p01/food-images/IMG_8921.jpeg,2020-02-01,mussels,19.73%,OK
../data/raw/p01/food-images/IMG_8922.jpeg,2020-02-01,ice cream,16.22%,OK
../data/raw/p01/food-images/IMG_8923.jpeg,2020-02-01,onion rings,51.92%,OK
../data/raw/p01/food-images/IMG_8927.jpeg,2020-02-02,cheese plate,17.65%,OK
../data/raw/p01/food-images/IMG_8928.jpeg,2020-02-02,omelette,16.02%,OK
../data/raw/p01/food-images/IMG_8929.jpeg,2020-02-02,escargots,6.81%,OK
../data/raw/p01/food-images/IMG_8957.jpeg,2020-02-02,apple pie,12.50%,OK
../data/raw/p01/food-images/IMG_8958.jpeg,2020-02-02,baklava,36.36%,OK
../data/raw/p01/food-images/IMG_8959.jpeg,2020-02-02,risotto,11.76%,OK
../data/raw/p01/food-images/IMG_8960.jpeg,2020-02-03,macarons,11.08%,OK
../data/raw/p01/food-images/IMG_8961.jpeg,2020-02-03,macarons,8.97%,OK
../data/raw/p01/food-images/IMG_8962.jpeg,2020-02-03,spring rolls,40.91%,OK
../data/raw/p01/food-images/IMG_8963.jpeg,2020-02-03,ceviche,19.99%,OK
../data/raw/p01/food-images/IMG_8964.jpeg,2020-02-03,ceviche,17.00%,OK
../data/raw/p01/food-images/IMG_8965.jpeg,2020-02-03,french fries,11.24%,OK
../data/raw/p01/food-images/IMG_8966.jpeg,2020-02-03,pizza,44.07%,OK
../data/raw/p01/food-images/IMG_8967.jpeg,2020-02-03,carrot cake,18.60%,OK
../data/raw/p01/food-images/IMG_8968.jpeg,2020-02-03,ice cream,12.15%,OK
../data/raw/p01/food-images/IMG_8969.jpeg,2020-02-04,tiramisu,13.47%,OK
../data/raw/p01/food-images/IMG_8970.jpeg,2020-02-04,macarons,9.92%,OK
../data/raw/p01/food-images/IMG_8972.jpeg,2020-02-04,macarons,19.09%,OK
../data/raw/p01/food-images/IMG_8973.jpeg,2020-02-04,chocolate mousse,8.59%,OK
../data/raw/p01/food-images/IMG_8975.jpeg,2020-02-04,miso soup,19.03%,OK
../data/raw/p01/food-images/IMG_8977.jpeg,2020-02-04,ice cream,13.63%,OK
../data/raw/p01/food-images/IMG_8980.jpeg,2020-02-05,tiramisu,20.85%,OK
../data/raw/p01/food-images/IMG_8981.jpeg,2020-02-05,waffles,14.74%,OK
../data/raw/p01/food-images/IMG_8982.jpeg,2020-02-05,cheese plate,10.91%,OK
../data/raw/p01/food-images/IMG_8983.jpeg,2020-02-05,gyoza,8.93%,OK
../data/raw/p01/food-images/IMG_8984.jpeg,2020-02-05,miso soup,29.37%,OK
../data/raw/p01/food-images/IMG_8985.jpeg,2020-02-06,guacamole,12.19%,OK
../data/raw/p01/food-images/IMG_8986.jpeg,2020-02-06,churros,31.05%,OK
../data/raw/p01/food-images/IMG_8996.jpeg,2020-02-06,shrimp and grits,18.67%,OK
../data/raw/p01/food-images/IMG_8998.jpeg,2020-02-06,paella,36.55%,OK
../data/raw/p01/food-images/IMG_8999.jpeg,2020-02-06,panna cotta,15.31%,OK
../data/raw/p01/food-images/IMG_9001.jpeg,2020-02-06,ice cream,22.91%,OK
../data/raw/p01/food-images/IMG_9002.jpeg,2020-02-07,ice cream,17.73%,OK
../data/raw/p01/food-images/IMG_9003.jpeg,2020-02-07,macarons,9.89%,OK
../data/raw/p01/food-images/IMG_9005.jpeg,2020-02-07,panna cotta,10.57%,OK
../data/raw/p01/food-images/IMG_9006.jpeg,2020-02-07,tuna tartare,17.19%,OK
../data/raw/p01/food-images/IMG_9007.jpeg,2020-02-07,cheese plate,13.75%,OK
../data/raw/p01/food-images/IMG_9008.jpeg,2020-02-08,fried calamari,23.38%,OK
../data/raw/p01/food-images/IMG_9009.jpeg,2020-02-08,chocolate mousse,14.04%,OK
../data/raw/p01/food-images/IMG_9010.jpeg,2020-02-08,strawberry shortcake,41.04%,OK
../data/raw/p01/food-images/IMG_9011.jpeg,2020-02-08,paella,14.31%,OK
../data/raw/p01/food-images/IMG_9012.jpeg,2020-02-08,chocolate mousse,21.66%,OK
../data/raw/p01/food-images/IMG_9013.jpeg,2020-02-08,french fries,8.06%,OK
../data/raw/p01/food-images/IMG_9014.jpeg,2020-02-09,churros,23.66%,OK
../data/raw/p01/food-images/IMG_9015.jpeg,2020-02-09,foie gras,6.69%,OK
../data/raw/p01/food-images/IMG_9020.jpeg,2020-02-09,mussels,7.83%,OK
../data/raw/p01/food-images/IMG_9021.jpeg,2020-02-09,greek salad,16.84%,OK
../data/raw/p01/food-images/IMG_9022.jpeg,2020-02-10,churros,19.48%,OK
../data/raw/p01/food-images/IMG_9023.jpeg,2020-02-10,macarons,18.36%,OK
../data/raw/p01/food-images/IMG_9024.jpeg,2020-02-10,panna cotta,32.12%,OK
../data/raw/p01/food-images/IMG_9025.jpeg,2020-02-10,churros,13.36%,OK
../data/raw/p01/food-images/IMG_9026.jpeg,2020-02-10,fried calamari,24.99%,OK
../data/raw/p01/food-images/IMG_9028.jpeg,2020-02-10,panna cotta,24.48%,OK
../data/raw/p01/food-images/IMG_9029.jpeg,2020-02-11,risotto,16.71%,OK
../data/raw/p01/food-images/IMG_9030.jpeg,2020-02-11,panna cotta,20.17%,OK
../data/raw/p01/food-images/IMG_9032.jpeg,2020-02-11,tacos,43.29%,OK
../data/raw/p01/food-images/IMG_9033.jpeg,2020-02-11,samosa,8.89%,OK
../data/raw/p01/food-images/IMG_9034.jpeg,2020-02-12,panna cotta,22.68%,OK
../data/raw/p01/food-images/IMG_9035.jpeg,2020-02-12,cheese plate,11.22%,OK
../data/raw/p01/food-images/IMG_9036.jpeg,2020-02-12,scallops,7.91%,OK
../data/raw/p01/food-images/IMG_9037.jpeg,2020-02-12,beef tartare,9.03%,OK
../data/raw/p01/food-images/IMG_9038.jpeg,2020-02-12,panna cotta,15.41%,OK
../data/raw/p01/food-images/IMG_9039.jpeg,2020-02-12,panna cotta,20.81%,OK
../data/raw/p01/food-images/IMG_9040.jpeg,2020-02-12,tuna tartare,17.57%,OK
../data/raw/p01/food-images/IMG_9041.jpeg,2020-02-12,chocolate mousse,18.67%,OK
../data/raw/p01/food-images/IMG_9042.jpeg,2020-02-12,cheese plate,8.90%,OK
../data/raw/p01/food-images/IMG_9043.jpeg,2020-02-13,beef tartare,8.04%,OK
../data/raw/p01/food-images/IMG_9044.jpeg,2020-02-13,cheese plate,12.91%,OK
../data/raw/p01/food-images/IMG_9046.jpeg,2020-02-13,chocolate mousse,24.70%,OK
../data/raw/p01/food-images/IMG_9047.jpeg,2020-02-13,pulled pork sandwich,9.01%,OK
../data/raw/p01/food-images/IMG_9048.jpeg,2020-02-13,macaroni and cheese,17.52%,OK
../data/raw/p01/food-images/IMG_9049.jpeg,2020-02-14,donuts,15.31%,OK
../data/raw/p01/food-images/IMG_9050.jpeg,2020-02-14,cheese plate,12.01%,OK
../data/raw/p01/food-images/IMG_9051.jpeg,2020-02-14,chocolate mousse,24.86%,OK
../data/raw/p01/food-images/IMG_9052.jpeg,2020-02-14,ice cream,7.60%,OK
../data/raw/p01/food-images/IMG_9053.jpeg,2020-02-15,panna cotta,13.99%,OK
../data/raw/p01/food-images/IMG_9054.jpeg,2020-02-15,churros,14.65%,OK
../data/raw/p01/food-images/IMG_9057.jpeg,2020-02-15,tacos,11.31%,OK
../data/raw/p01/food-images/IMG_9058.jpeg,2020-02-15,filet mignon,15.68%,OK
../data/raw/p01/food-images/IMG_9059.jpeg,2020-02-15,panna cotta,26.54%,OK
../data/raw/p01/food-images/IMG_9060.jpeg,2020-02-15,club sandwich,29.11%,OK
../data/raw/p01/food-images/IMG_9061.jpeg,2020-02-15,caprese salad,16.45%,OK
../data/raw/p01/food-images/IMG_9062.jpeg,2020-02-16,caprese salad,13.71%,OK
../data/raw/p01/food-images/IMG_9063.jpeg,2020-02-16,tuna tartare,16.35%,OK
../data/raw/p01/food-images/IMG_9064.jpeg,2020-02-16,ice cream,17.37%,OK
../data/raw/p01/food-images/IMG_9065.jpeg,2020-02-16,macarons,10.73%,OK
../data/raw/p01/food-images/IMG_9066.jpeg,2020-02-17,panna cotta,23.41%,OK
../data/raw/p01/food-images/IMG_9067.jpeg,2020-02-17,cheese plate,13.35%,OK
../data/raw/p01/food-images/IMG_9068.jpeg,2020-02-17,panna cotta,12.54%,OK
../data/raw/p01/food-images/IMG_9069.jpeg,2020-02-17,tiramisu,13.06%,OK
../data/raw/p01/food-images/IMG_9072.jpeg,2020-02-17,hot dog,54.13%,OK
../data/raw/p01/food-images/IMG_9073.jpeg,2020-02-17,cheese plate,26.60%,OK
../data/raw/p01/food-images/IMG_9074.jpeg,2020-02-17,hot dog,9.60%,OK
../data/raw/p01/food-images/IMG_9075.jpeg,2020-02-18,macarons,22.72%,OK
../data/raw/p01/food-images/IMG_9078.jpeg,2020-02-18,donuts,10.26%,OK
../data/raw/p01/food-images/IMG_9082.jpeg,2020-02-18,macarons,25.70%,OK
../data/raw/p01/food-images/IMG_9083.jpeg,2020-02-18,steak,24.43%,OK
../data/raw/p01/food-images/IMG_9084.jpeg,2020-02-18,chocolate mousse,19.19%,OK
../data/raw/p01/food-images/IMG_9085.jpeg,2020-02-19,cup cakes,33.70%,OK
../data/raw/p01/food-images/IMG_9088.jpeg,2020-02-19,hot dog,9.45%,OK
../data/raw/p01/food-images/IMG_9089.jpeg,2020-02-19,panna cotta,13.25%,OK
../data/raw/p01/food-images/IMG_9091.jpeg,2020-02-19,churros,61.21%,OK
../data/raw/p01/food-images/IMG_9092.jpeg,2020-02-19,cheesecake,38.73%,OK
../data/raw/p01/food-images/IMG_9093.jpeg,2020-02-19,club sandwich,9.18%,OK
../data/raw/p01/food-images/IMG_9094.jpeg,2020-02-19,chocolate mousse,34.38%,OK
../data/raw/p01/food-images/IMG_9096.jpeg,2020-02-20,ice cream,26.21%,OK
../data/raw/p01/food-images/IMG_9098.jpeg,2020-02-20,chocolate mousse,25.82%,OK
../data/raw/p01/food-images/IMG_9099.jpeg,2020-02-20,apple pie,8.89%,OK
../data/raw/p01/food-images/IMG_9101.jpeg,2020-02-20,miso soup,26.15%,OK
../data/raw/p01/food-images/IMG_9102.jpeg,2020-02-20,macarons,16.37%,OK
../data/raw/p01/food-images/IMG_9104.jpeg,2020-02-21,cup cakes,53.04%,OK
../data/raw/p01/food-images/IMG_9106.jpeg,2020-02-21,hot dog,91.63%,OK
../data/raw/p01/food-images/IMG_9107.jpeg,2020-02-21,chocolate mousse,25.48%,OK
../data/raw/p01/food-images/IMG_9108.jpeg,2020-02-21,beet salad,13.28%,OK
../data/raw/p01/food-images/IMG_9109.jpeg,2020-02-21,deviled eggs,12.29%,OK
../data/raw/p01/food-images/IMG_9110.jpeg,2020-02-22,hot dog,15.25%,OK
../data/raw/p01/food-images/IMG_9111.png,2020-02-22,caesar salad,12.91%,OK
../data/raw/p01/food-images/IMG_9112.jpeg,2020-02-22,donuts,17.18%,OK
../data/raw/p01/food-images/IMG_9116.jpeg,2020-02-22,ice cream,14.08%,OK
../data/raw/p01/food-images/IMG_9117.jpeg,2020-02-22,french fries,33.15%,OK
../data/raw/p01/food-images/IMG_9118.jpeg,2020-02-22,french fries,92.74%,OK
../data/raw/p01/food-images/IMG_9119.jpeg,2020-02-22,creme brulee,20.44%,OK
../data/raw/p01/food-images/IMG_9120.jpeg,2020-02-23,apple pie,14.88%,OK
../data/raw/p01/food-images/IMG_9121.jpeg,2020-02-23,ice cream,22.27%,OK
../data/raw/p01/food-images/IMG_9122.jpeg,2020-02-23,cheese plate,13.13%,OK
../data/raw/p01/food-images/IMG_9154.jpeg,2020-02-23,tiramisu,31.73%,OK
../data/raw/p01/food-images/IMG_9155.jpeg,2020-02-23,pizza,34.18%,OK
../data/raw/p01/food-images/IMG_9156.jpeg,2020-02-23,macarons,15.09%,OK
../data/raw/p01/food-images/IMG_9157.jpeg,2020-02-23,macarons,8.70%,OK
../data/raw/p01/food-images/IMG_9158.jpeg,2020-02-23,panna cotta,15.81%,OK
../data/raw/p01/food-images/IMG_9159.jpeg,2020-02-24,falafel,23.17%,OK
../data/raw/p01/food-images/IMG_9160.jpeg,2020-02-24,macarons,35.04%,OK
../data/raw/p01/food-images/IMG_9161.jpeg,2020-02-24,lobster bisque,90.45%,OK
../data/raw/p01/food-images/IMG_9163.jpeg,2020-02-24,prime rib,10.94%,OK
../data/raw/p01/food-images/IMG_9164.jpeg,2020-02-25,chocolate mousse,14.69%,OK
../data/raw/p01/food-images/IMG_9165.jpeg,2020-02-25,tuna tartare,7.35%,OK
../data/raw/p01/food-images/IMG_9168.jpeg,2020-02-25,ice cream,18.62%,OK
../data/raw/p01/food-images/IMG_9171.jpeg,2020-02-25,macarons,9.94%,OK
../data/raw/p01/food-images/IMG_9178.jpeg,2020-02-25,ice cream,11.47%,OK
../data/raw/p01/food-images/IMG_9180.jpeg,2020-02-25,spring rolls,8.02%,OK
../data/raw/p01/food-images/IMG_9186.jpeg,2020-02-25,frozen yogurt,15.11%,OK
../data/raw/p01/food-images/IMG_9187.jpeg,2020-02-25,frozen yogurt,21.29%,OK
../data/raw/p01/food-images/IMG_9188.jpeg,2020-02-26,fried calamari,17.56%,OK
../data/raw/p01/food-images/IMG_9199.jpeg,2020-02-26,spring rolls,29.59%,OK
../data/raw/p01/food-images/IMG_9200.jpeg,2020-02-26,cheese plate,34.74%,OK
../data/raw/p01/food-images/IMG_9201.jpeg,2020-02-26,ice cream,10.79%,OK
../data/raw/p01/food-images/IMG_9202.jpeg,2020-02-26,pizza,51.85%,OK
../data/raw/p01/food-images/IMG_9203.jpeg,2020-02-26,fried calamari,25.04%,OK
../data/raw/p01/food-images/IMG_9204.jpeg,2020-02-26,edamame,38.80%,OK
../data/raw/p01/food-images/IMG_9205.jpeg,2020-02-27,miso soup,33.67%,OK
../data/raw/p01/food-images/IMG_9206.jpeg,2020-02-27,macarons,26.41%,OK
../data/raw/p01/food-images/IMG_9207.jpeg,2020-02-27,macarons,13.39%,OK
../data/raw/p01/food-images/IMG_9208.jpeg,2020-02-27,tacos,20.82%,OK
